code,description,category,subcategory,unit,rate,brand,keywords
35974_3f9804ff,Rail Cross Mode - HD - black 2.4m bottom,General,,Unit,20.91,,rail; cross; mode; black; 2.4m; bottom; general; 35974_3f9804ff
35980_808c4698,Small civils - O'Sullivan Paving and kerbs 10m x 5m,General,,Unit,10289.7,,small; civils; o'sullivan; paving; and; kerbs; 10m; general; 35980_808c4698
35981_28e91791,Small civils - Patton trampoline pit,General,,Unit,,,small; civils; patton; trampoline; pit; general; 35981_28e91791
35993_a65017e8,"Supply and fit fencing at sports pitch as below - Creevey NS, 2.4m twin wire 868 weld mesh fence with 60x60 posts set in concrete footings at 2.5m centres, 2.6m high soccer net fixed above fence on 150x150x5mm corner posts & 100x100x4mm posts as set in drawing, 10m tall ball stops as per drawing on 12m timber poles, all materials galvanized and PPC green RAL 6005, price includes 1No vehicle access gate and 1 No Ped gate",Fencing,Sets & Kits,Unit,55216.22,,supply; and; fit; fencing; sports; pitch; below; creevey; 2.4m; twin; wire; 868; weld; mesh; fence; with; 60x60; posts; set; concrete; footings; 2.5m; centres; 2.6m; high; soccer; net; fixed; above; 150x150x5mm; corner; 100x100x4mm; drawing; 10m; tall; ball; stops; per; 12m; timber; poles; all; materials; galvanized; ppc; green; ral; 6005; price; includes; 1no; vehicle; access; gate; ped; sets & kits; 35993_a65017e8
35994_1807ef35,Supply and fit fencing at sports pitch as below - 2,Fencing,,Unit,,,supply; and; fit; fencing; sports; pitch; below; 35994_1807ef35
35999_d333e1f5,Handsaw - Jack Hardpoint,Saws & Blades,,Unit,9.85,,handsaw; jack; hardpoint; saws & blades; 35999_d333e1f5
36000_fd49e5dc,Handsaw - Fencers Saw,Saws & Blades,,Unit,,,handsaw; fencers; saw; saws & blades; 36000_fd49e5dc
36007_764becfc,Wafer Head Screw - M8 * 80mm,Screws,Individual Pieces,Unit,0.16,,wafer; head; screw; 80mm; screws; individual pieces; 36007_764becfc
36008_20ec2058,Wafer Head Screw - M8 * 120mm,Screws,Individual Pieces,Unit,0.23,,wafer; head; screw; 120mm; screws; individual pieces; 36008_20ec2058
36016_681fc3cf,Estate Railing Bars - flat bar glav,General,,Unit,,,estate; railing; bars; flat; bar; glav; general; 36016_681fc3cf
36017_2bad34ae,Estate Railing Bars - flat bar black,General,,Unit,,,estate; railing; bars; flat; bar; black; general; 36017_2bad34ae
36024_da848374,Estate Railing Bars - round bar galv,General,,Unit,,,estate; railing; bars; round; bar; galv; general; 36024_da848374
36025_ad81925f,Estate Railing Bars - round bar black,General,,Unit,,,estate; railing; bars; round; bar; black; general; 36025_ad81925f
36018_6c3d7b49,Estate Railing Posts - post galv,Posts,,Unit,,,estate; railing; posts; post; galv; 36018_6c3d7b49
