id,code,ref,description,category,subcategory,unit,rate,material_type,material_grade,material_size,material_finish,work_type,brand,labor_rate,material_rate,wastage_percentage,supplier,location,availability,remark,keywords,isActive
709642b2-a2db-45e7-9c29-fad82ba0b4c6,35983_435c5983,__export__.product_product_35983_435c5983,System Nylofor Marine Grade - kit black 1.2m * 3.0m,General,,Unit,,,,kit black 1.2m * 3.0m,,,,,,,,,,kit black 1.2m * 3.0m,system; nylofor; marine; grade; kit; black; 1.2m; 3.0m; general; 35983_435c5983,true
bad5f1ed-3ca0-4aa7-a662-e3902d0965ed,35984_24f68e26,__export__.product_product_35984_24f68e26,System Nylofor Marine Grade - kit black 1.8m * 3.0m,General,,Unit,,,,kit black 1.8m * 3.0m,,,,,,,,,,kit black 1.8m * 3.0m,system; nylofor; marine; grade; kit; black; 1.8m; 3.0m; general; 35984_24f68e26,true
e19f28f2-324e-410b-bf2f-07a90fced286,35985_476362f7,__export__.product_product_35985_476362f7,System Nylofor Marine Grade - kit black 2.4m * 3.0m,General,,Unit,,,,kit black 2.4m * 3.0m,,,,,,,,,,kit black 2.4m * 3.0m,system; nylofor; marine; grade; kit; black; 2.4m; 3.0m; general; 35985_476362f7,true
19551d92-6631-48bd-ba86-50c07354f545,35986_6405f0ad,__export__.product_product_35986_6405f0ad,System Nylofor Marine Grade - kit black 3.0m * 2.8m,General,,Unit,,,,kit black 3.0m * 2.8m,,,,,,,,,,kit black 3.0m * 2.8m,system; nylofor; marine; grade; kit; black; 3.0m; 2.8m; general; 35986_6405f0ad,true
14fcfb7c-25c1-4d4e-b7f8-56f900b2990a,35987_89962571,__export__.product_product_35987_89962571,System Nylofor Marine Grade - kit green 1.2m * 3.0m,General,,Unit,62.56,,,kit green 1.2m * 3.0m,,,,,,,,,,kit green 1.2m * 3.0m,system; nylofor; marine; grade; kit; green; 1.2m; 3.0m; general; 35987_89962571,true
d8b6023a-74bd-416f-a2d1-37ce393aa0c6,35988_5105d81d,__export__.product_product_35988_5105d81d,System Nylofor Marine Grade - kit green 1.8m * 3.0m,General,,Unit,88.73,,,kit green 1.8m * 3.0m,,,,,,,,,,kit green 1.8m * 3.0m,system; nylofor; marine; grade; kit; green; 1.8m; 3.0m; general; 35988_5105d81d,true
24aac122-6501-49e2-9db7-351f15f154fa,35989_8b1308d1,__export__.product_product_35989_8b1308d1,System Nylofor Marine Grade - kit green 2.4m * 3.0m,General,,Unit,,,,kit green 2.4m * 3.0m,,,,,,,,,,kit green 2.4m * 3.0m,system; nylofor; marine; grade; kit; green; 2.4m; 3.0m; general; 35989_8b1308d1,true
8d9f5de5-6923-40f7-8466-51e8d608e1fc,35990_121a4f27,__export__.product_product_35990_121a4f27,System Nylofor Marine Grade - kit green 3.0m * 2.8m,General,,Unit,,,,kit green 3.0m * 2.8m,,,,,,,,,,kit green 3.0m * 2.8m,system; nylofor; marine; grade; kit; green; 3.0m; 2.8m; general; 35990_121a4f27,true
a6ca5973-d4d1-4b33-b4a2-47b96999bc47,34128_c5d870bd,__export__.product_product_34128_c5d870bd,System Dulok 868 - kit black 1.2m * 2.5m,General,,Unit,49.746,,,kit black 1.2m * 2.5m,,,,,,,,,,kit black 1.2m * 2.5m,system; dulok; 868; kit; black; 1.2m; 2.5m; general; 34128_c5d870bd,true
0e41cecd-b2ba-4578-90b1-17b53f83eddc,34129_7f244c5e,__export__.product_product_34129_7f244c5e,System Dulok 868 - kit black 1.8m * 2.5m,General,,Unit,71.604,,,kit black 1.8m * 2.5m,,,,,,,,,,kit black 1.8m * 2.5m,system; dulok; 868; kit; black; 1.8m; 2.5m; general; 34129_7f244c5e,true
e8c695d7-39de-4727-a0b4-38ccf9c797f9,34130_0080f17d,__export__.product_product_34130_0080f17d,System Dulok 868 - kit black 2.4m * 2.5m,General,,Unit,87.61,,,kit black 2.4m * 2.5m,,,,,,,,,,kit black 2.4m * 2.5m,system; dulok; 868; kit; black; 2.4m; 2.5m; general; 34130_0080f17d,true
51ab84e8-25e1-42f0-8910-6b248218ff42,34131_3e740fe4,__export__.product_product_34131_3e740fe4,System Dulok 868 - kit green 1.2m * 2.5m,General,,Unit,58.84,,,kit green 1.2m * 2.5m,,,,,,,,,,kit green 1.2m * 2.5m,system; dulok; 868; kit; green; 1.2m; 2.5m; general; 34131_3e740fe4,true
596ead78-8a7e-49b9-af0a-43816e6da0af,34132_1936fc2e,__export__.product_product_34132_1936fc2e,System Dulok 868 - kit green 1.8m * 2.5m,General,,Unit,86.49,,,kit green 1.8m * 2.5m,,,,,,,,,,kit green 1.8m * 2.5m,system; dulok; 868; kit; green; 1.8m; 2.5m; general; 34132_1936fc2e,true
0321cf3d-c45d-489a-9fb0-f2926083fff8,34133_aabc76bd,__export__.product_product_34133_aabc76bd,System Dulok 868 - kit green 2.4m * 2.5m,General,,Unit,93.008,,,kit green 2.4m * 2.5m,,,,,,,,,,kit green 2.4m * 2.5m,system; dulok; 868; kit; green; 2.4m; 2.5m; general; 34133_aabc76bd,true
45210179-69eb-41f9-ae29-bcd96e1d3689,34137_0d721545,__export__.product_product_34137_0d721545,System Dulok lite 656 - kit green 1.2m * 2.5m,General,,Unit,52.802,,,kit green 1.2m * 2.5m,,,,,,,,,,kit green 1.2m * 2.5m,system; dulok; lite; 656; kit; green; 1.2m; 2.5m; general; 34137_0d721545,true
c100403f-a610-4880-bc7c-52435916cc14,34138_a655aab9,__export__.product_product_34138_a655aab9,System Dulok lite 656 - kit green 1.8m * 2.5m,General,,Unit,55.91,,,kit green 1.8m * 2.5m,,,,,,,,,,kit green 1.8m * 2.5m,system; dulok; lite; 656; kit; green; 1.8m; 2.5m; general; 34138_a655aab9,true
f225fcaa-c275-4673-8ce7-6ae4d9abd8c3,34139_517e2327,__export__.product_product_34139_517e2327,System Dulok lite 656 - kit green 2.4m * 2.5m,General,,Unit,,,,kit green 2.4m * 2.5m,,,,,,,,,,kit green 2.4m * 2.5m,system; dulok; lite; 656; kit; green; 2.4m; 2.5m; general; 34139_517e2327,true
b977f6b3-1076-4b49-98f4-a7e89e77cac9,34134_76c2229f,__export__.product_product_34134_76c2229f,System Dulok lite 656 - kit black 1.2m * 2.5m,General,,Unit,51.608,,,kit black 1.2m * 2.5m,,,,,,,,,,kit black 1.2m * 2.5m,system; dulok; lite; 656; kit; black; 1.2m; 2.5m; general; 34134_76c2229f,true
e4374d52-52f2-4441-a1b2-4e96e56550f7,34135_efe4e57b,__export__.product_product_34135_efe4e57b,System Dulok lite 656 - kit black 1.8m * 2.5m,General,,Unit,55.91,,,kit black 1.8m * 2.5m,,,,,,,,,,kit black 1.8m * 2.5m,system; dulok; lite; 656; kit; black; 1.8m; 2.5m; general; 34135_efe4e57b,true
f341697e-dfca-40c3-a7e2-f906a54e0f21,34136_aedbd0b8,__export__.product_product_34136_aedbd0b8,System Dulok lite 656 - kit black 2.4m * 2.5m,General,,Unit,73.514,,,kit black 2.4m * 2.5m,,,,,,,,,,kit black 2.4m * 2.5m,system; dulok; lite; 656; kit; black; 2.4m; 2.5m; general; 34136_aedbd0b8,true
fe6d2a61-3cfb-414d-a458-666146767868,34140_34b361c8,__export__.product_product_34140_34b361c8,System Nylofor 2DS 868 - kit black 1.2m * 2.5m,General,,Unit,58.45,,,kit black 1.2m * 2.5m,,,,,,,,,,kit black 1.2m * 2.5m,system; nylofor; 2ds; 868; kit; black; 1.2m; 2.5m; general; 34140_34b361c8,true
d476d979-e929-433e-96d7-0716100d4f00,34141_c4e510ae,__export__.product_product_34141_c4e510ae,System Nylofor 2DS 868 - kit black 1.8m * 2.5m,General,,Unit,78.12,,,kit black 1.8m * 2.5m,,,,,,,,,,kit black 1.8m * 2.5m,system; nylofor; 2ds; 868; kit; black; 1.8m; 2.5m; general; 34141_c4e510ae,true
